序号	code	name
1113	002302	西部建设
1114	002641	永高股份
1115	002747	埃斯顿
1116	603726	朗迪集团
1117	002478	常宝股份
1118	002627	宜昌交运
1119	600289	亿阳信通
1120	600616	金枫酒业
1121	603616	韩建河山
1122	600340	华夏幸福
1123	600887	伊利股份
1124	300069	金利华电
1125	000939	凯迪生态
1126	000544	中原环保
1127	600698	湖南天雁
1128	600199	金种子酒
1129	600561	江西长运
1130	600584	长电科技
1131	600426	华鲁恒升
1132	300325	德威新材
1133	002223	鱼跃医疗
1134	002054	德美化工
1135	600667	太极实业
1136	600705	中航资本
1137	002097	山河智能
1138	002791	坚朗五金
1139	000756	新华制药
1140	600302	标准股份
1141	603008	喜临门
1142	300293	蓝英装备
1143	600130	波导股份
1144	300272	开能环保
1145	002026	山东威达
1146	600629	华建集团
1147	600668	尖峰集团
1148	603456	九洲药业
1149	000070	特发信息
1150	600369	西南证券
1151	300283	温州宏丰
1152	600540	新赛股份
1153	600815	厦工股份
1154	603828	柯利达
1155	002292	奥飞娱乐
1156	300070	碧水源
1157	603366	日出东方
1158	002188	巴士在线
1159	300436	广生堂
1160	600879	航天电子
1161	600722	金牛化工
1162	000597	东北制药
1163	002051	中工国际
1164	600503	华丽家族
1165	002250	联化科技
1166	300032	金龙机电
1167	002064	华峰氨纶
1168	600750	江中药业
1169	000558	莱茵体育
1170	300367	东方网力
1171	601199	江南水务
1172	603338	浙江鼎力
1173	603818	曲美家居
1174	600663	陆家嘴
1175	002229	鸿博股份
1176	002130	沃尔核材
1177	601021	春秋航空
1178	002334	英威腾
1179	601117	中国化学
1180	603199	九华旅游
1181	002143	印纪传媒
1182	002181	粤 传 媒
1183	300274	阳光电源
1184	600850	华东电脑
1185	000958	东方能源
1186	300150	世纪瑞尔
1187	000014	沙河股份
1188	000977	浪潮信息
1189	300009	安科生物
1190	000652	泰达股份
1191	600080	金花股份
1192	002360	同德化工
1193	600051	宁波联合
1194	300171	东富龙
1195	600057	象屿股份
1196	002699	美盛文化
1197	600162	香江控股
1198	300266	兴源环境
1199	600287	江苏舜天
1200	603222	济民制药
1201	000601	韶能股份
1202	300164	通源石油
1203	002172	澳洋科技
1204	300297	蓝盾股份
1205	000021	深科技
1206	000528	柳 工
1207	002215	诺 普 信
1208	600723	首商股份
1209	002679	福建金森
1210	002648	卫星石化
1211	002736	国信证券
1212	600277	亿利洁能
1213	000876	新 希 望
1214	600141	兴发集团
1215	002450	康得新
1216	002037	久联发展
1217	300403	地尔汉宇
1218	600658	电子城
1219	603309	维力医疗
1220	002409	雅克科技
1221	002687	乔治白
1222	000153	丰原药业
1223	002071	长城影视
1224	002315	焦点科技
1225	600082	海泰发展
1226	600641	万业企业
1227	000779	三毛派神
1228	600827	百联股份
1229	002607	亚夏汽车
1230	002660	茂硕电源
1231	603027	千禾味业
1232	600761	安徽合力
1233	601900	南方传媒
1234	600109	国金证券
1235	600517	置信电气
1236	000987	广州友谊
1237	601098	中南传媒
1238	000564	西安民生
1239	000708	大冶特钢
1240	000045	深纺织Ａ
1241	000707	双环科技
1242	002707	众信旅游
1243	000150	宜华健康
1244	000616	海航投资
1245	002490	山东墨龙
1246	600633	浙报传媒
1247	002251	步 步 高
1248	300345	红宇新材
1249	600236	桂冠电力
1250	000682	东方电子
1251	002305	南国置业
1252	300420	五洋科技
1253	000957	中通客车
1254	002605	姚记扑克
1255	600579	天华院
1256	000701	厦门信达
1257	000931	中 关 村
